,BEARING,mean_ted,std_ted,freq_ted,island
117,80,0.489851093,0.706487565,543441,HAW
118,90,0.633655341,0.85614663,507980,HAW
119,100,0.74837,1.005972244,470532,HAW
120,110,0.845119408,1.154795511,354199,HAW
121,120,0.870290128,1.222282407,252316,HAW
122,130,0.819766466,1.138816214,147274,HAW
123,140,0.566168862,0.854147658,149236,HAW
124,150,0.472260049,0.703509448,179711,HAW
125,160,0.550508682,0.821682077,213103,HAW
126,170,0.75209782,1.187862396,251819,HAW
127,180,0.768789339,1.223765591,263818,HAW
128,190,0.745859501,1.236141338,271121,HAW
129,200,0.717411756,1.175818029,260105,HAW
130,210,0.569470276,0.983893969,247724,HAW
131,220,0.423988518,0.759964106,239840,HAW
132,230,0.296614087,0.47788331,201902,HAW
133,240,0.251591709,0.363830016,200238,HAW
134,250,0.157208209,0.223270388,250566,HAW
135,260,0.117412009,0.151444286,346225,HAW
136,270,0.10028,0.131407536,486091,HAW
137,280,0.071303863,0.102315793,712744,HAW
138,290,0.042766577,0.072159897,1046271,HAW
139,300,0.027432313,0.053095429,1476040,HAW
140,310,0.02242957,0.052575075,2045660,HAW
141,320,0.018997199,0.05130393,2332646,HAW
142,330,0.013520852,0.0423345,2401220,HAW
143,340,0.011397918,0.037385541,2373641,HAW
144,350,0.008466776,0.028599682,1753444,HAW
145,0,0.005007474,0.016197817,1311910,HAW
146,10,0.005506743,0.016396052,1028733,HAW
147,20,0.007278631,0.021576404,823235,HAW
148,30,0.011264449,0.033565775,800638,HAW
149,40,0.018463104,0.053515481,765657,HAW
150,50,0.045847732,0.10947991,649179,HAW
151,60,0.150532524,0.306494874,624877,HAW
152,70,0.316155708,0.540588867,585498,HAW
153,80,0.489851093,0.706487565,543441,HAW
154,90,0.633655341,0.85614663,507980,HAW
155,100,0.74837,1.005972244,470532,HAW
156,110,0.845119408,1.154795511,354199,HAW
157,120,0.870290128,1.222282407,252316,HAW
158,130,0.819766466,1.138816214,147274,HAW
159,140,0.566168862,0.854147658,149236,HAW
160,150,0.472260049,0.703509448,179711,HAW
161,160,0.550508682,0.821682077,213103,HAW
162,170,0.75209782,1.187862396,251819,HAW
163,180,0.768789339,1.223765591,263818,HAW
164,190,0.745859501,1.236141338,271121,HAW
165,200,0.717411756,1.175818029,260105,HAW
