"OBS_YEAR","REGION","ISLAND","SECTOR","REEF_ZONE","SITEVISITID","PISCIVORE","PLANKTIVORE","PRIMARY","SECONDARY","PLANK_rel","region","region.col"
2017,"MARIAN","Saipan","Saipan","Forereef",11193,0.0570246009991073,0.335711857218645,1.20826629357736,0.292533883480631,0.17729356325327,"Mariana","#01A74F"
2017,"MARIAN","Saipan","Saipan","Forereef",11194,0.099050031474909,0.390791574457388,0.526773053656062,0.26995557101054,0.30374678751542,"Mariana","#01A74F"
2017,"MARIAN","Saipan","Saipan","Forereef",11195,0.0311207232222262,0.080548424428849,0.21444534427748,0.160858305825306,0.165406414486342,"Mariana","#01A74F"
2017,"MARIAN","Saipan","Saipan","Forereef",11196,0.10107289568196,0.210374686530028,0.443409137117897,0.350757762882782,0.190278519243891,"Mariana","#01A74F"
2017,"MARIAN","Sarigan","Sarigan","Forereef",11160,0.733895999477891,1.13682290318553,1.24795586303004,0.452093107193661,0.318369309810766,"Mariana","#01A74F"
2017,"MARIAN","Sarigan","Sarigan","Forereef",11161,0.260310201252056,0.288605854693083,1.9794346788553,0.502273492456134,0.0952298381625291,"Mariana","#01A74F"
2017,"MARIAN","Sarigan","Sarigan","Forereef",11162,0.444906905352202,0.104166109395098,1.07188440741521,0.488703318998218,0.0493757632982194,"Mariana","#01A74F"
2017,"MARIAN","Sarigan","Sarigan","Forereef",11163,2.43060139374846,4.12046920285665,0.67732142825557,0.831579302559216,0.511226285487999,"Mariana","#01A74F"
2017,"MARIAN","Sarigan","Sarigan","Forereef",11165,0.470194780323184,0.18824030730282,0.481717285136255,0.787824102942691,0.097636205459401,"Mariana","#01A74F"
2017,"MARIAN","Sarigan","Sarigan","Forereef",11166,0.0244723603196982,0.00749046130542959,0.6189209908607,0.178051921788393,0.00903623887319552,"Mariana","#01A74F"
2017,"MARIAN","Sarigan","Sarigan","Forereef",11167,0.346562460690449,0.268679313618585,1.23647793277265,0.809591974887221,0.100957477261667,"Mariana","#01A74F"
2017,"MARIAN","Sarigan","Sarigan","Forereef",11168,0.568871317133459,0.503543348258925,0.286224925807531,0.757603655782081,0.237942093366174,"Mariana","#01A74F"
2017,"MARIAN","Sarigan","Sarigan","Forereef",11169,0.222821040846297,0.459065385722112,0.975194426962173,0.77695442231772,0.18860260172775,"Mariana","#01A74F"
2017,"MARIAN","Tinian","Tinian","Forereef",10763,0.192891278356106,0.571765864683869,0.405641073612127,0.241508839297104,0.40498867198213,"Mariana","#01A74F"
2017,"MARIAN","Tinian","Tinian","Forereef",10764,0.093226994038883,0.480291117289046,1.03462516816501,0.411871923904144,0.237766090315228,"Mariana","#01A74F"
