"LONGITUDE","LATITUDE","ISLAND","SITE","SITEVISITID","OBS_YEAR"
-170.80157,-14.29101,"Tutuila","TUT-00209",2210,2010
-170.80899,-14.29427,"Tutuila","TUT-00259",2211,2010
-170.7765,-14.29105,"Tutuila","TUT-00484",2212,2010
-170.7739,-14.29218,"Tutuila","TUT-00342",2213,2010
-170.81322,-14.28012,"Tutuila","TUT-00355",2214,2010
-170.77148,-14.29028,"Tutuila","TUT-00303",2215,2010
-170.75703,-14.28876,"Tutuila","TUT-00276",2216,2010
-170.75977,-14.29056,"Tutuila","TUT-00421",2217,2010
-170.69751,-14.22891,"Tutuila","TUT-00228",2219,2010
-170.66848,-14.24653,"Tutuila","TUT-00236",2220,2010
-170.67082,-14.22971,"Tutuila","TUT-00379",2222,2010
-170.72424,-14.27843,"Tutuila","TUT-00264",2223,2010
-170.67563,-14.23976,"Tutuila","TUT-00357",2224,2010
-170.7234,-14.27179,"Tutuila","TUT-00368",2225,2010
-170.69742,-14.23,"Tutuila","TUT-00326",2226,2010
-170.80986,-14.27839,"Tutuila","TUT-00304",2227,2010
-170.78069,-14.28812,"Tutuila","TUT-00457",2228,2010
-170.79051,-14.28932,"Tutuila","TUT-00299",2229,2010
-170.77087,-14.29,"Tutuila","TUT-00481",2230,2010
-170.5809,-14.24548,"Tutuila","TUT-00343",2234,2010
-170.60568,-14.25637,"Tutuila","TUT-00297",2235,2010
-170.57898,-14.24624,"Tutuila","TUT-00272",2236,2010
-170.60896,-14.25376,"Tutuila","TUT-00287",2237,2010
-170.56274,-14.25449,"Tutuila","TUT-00275",2240,2010
-170.56104,-14.24804,"Tutuila","TUT-00278",2241,2010
-170.55797,-14.25912,"Tutuila","TUT-00244",2242,2010
-170.56104,-14.2623,"Tutuila","TUT-00246",2243,2010
-170.63815,-14.28579,"Tutuila","TUT-00452",2249,2010
-170.65463,-14.29358329,"Tutuila","TUT-00305",2250,2010
-170.62154,-14.27771,"Tutuila","TUT-00201",2251,2010
-170.63768,-14.28185,"Tutuila","TUT-00423",2253,2010
-170.81966,-14.29871,"Tutuila","TUT-00375",2254,2010
-170.83717,-14.31464,"Tutuila","TUT-00373",2255,2010
-170.81781,-14.29955,"Tutuila","TUT-00413",2256,2010
-170.84418,-14.31953,"Tutuila","TUT-00367",2258,2010
-170.83037,-14.30689,"Tutuila","TUT-00245",2259,2010
-170.82288,-14.30159,"Tutuila","TUT-00320",2260,2010
-170.77165,-14.36611,"Tutuila","TUT-00335",2263,2010
-170.77991,-14.36404,"Tutuila","TUT-00273",2264,2010
-170.80858,-14.33227,"Tutuila","TUT-00426",2265,2010
-170.8015,-14.33398,"Tutuila","TUT-00451",2269,2010
-170.79521,-14.3374,"Tutuila","TUT-00352",2270,2010
-170.81322,-14.33291,"Tutuila","TUT-00344",2271,2010
-170.83447,-14.32669,"Tutuila","TUT-00262",2272,2010
-170.84183,-14.32524,"Tutuila","TUT-00337",2273,2010
-170.84792,-14.32264,"Tutuila","TUT-00331",2274,2010
-168.16541,-14.53654,"Rose","ROS-00222",2275,2010
-168.17235,-14.5387,"Rose","ROS-00227",2276,2010
-168.17271,-14.54129,"Rose","ROS-00217",2277,2010
-168.16701,-14.55098,"Rose","ROS-00228",2278,2010
-168.17,-14.54722,"Rose","ROS-00210",2279,2010
-168.17276,-14.54037,"Rose","ROS-00225",2280,2010
-168.16988,-14.53724,"Rose","ROS-00236",2281,2010
-168.15907,-14.5338,"Rose","ROS-00231",2282,2010
-168.1458223,-14.5383862,"Rose","ROS-00241",2286,2010
-168.14818,-14.53498,"Rose","ROS-00215",2287,2010
-168.15074,-14.52962,"Rose","ROS-00235",2288,2010
-168.16701,-14.55098,"Rose","ROS-00226",2289,2010
-168.13808,-14.54937,"Rose","ROS-00200",2290,2010
-168.1436,-14.54227,"Rose","ROS-00221",2291,2010
-168.14459,-14.54134,"Rose","ROS-00234",2292,2010
-168.13922,-14.54607,"Rose","ROS-00242",2293,2010
-168.14409,-14.5542,"Rose","ROS-00216",2299,2010
-168.16634,-14.55199,"Rose","ROS-00205",2300,2010
-168.15314,-14.55792,"Rose","ROS-00203",2301,2010
-168.15553,-14.55928,"Rose","ROS-00211",2302,2010
-168.1591,-14.55998,"Rose","ROS-00239",2303,2010
-168.16049,-14.55892,"Rose","ROS-00218",2306,2010
-168.16541,-14.55329,"Rose","ROS-00212",2307,2010
-168.15828,-14.56028,"Rose","ROS-00240",2314,2010
-170.73969,-14.27647,"Tutuila","TUT-00206",2335,2010
-170.67088,-14.24515,"Tutuila","TUT-00491",2336,2010
-170.66936,-14.23619,"Tutuila","TUT-00219",2337,2010
-170.68098,-14.30094,"Tutuila","TUT-00370",2340,2010
-170.66896,-14.32171,"Tutuila","TUT-00293",2341,2010
-170.69318,-14.30883,"Tutuila","TUT-00312",2342,2010
-170.69904,-14.33183,"Tutuila","TUT-00302",2343,2010
-170.72064,-14.3427,"Tutuila","TUT-00412",2344,2010
-169.63547,-14.17359,"Ofu & Olosega","OFU-00201",2346,2010
-169.61617,-14.19178,"Ofu & Olosega","OLO-00203",2347,2010
-169.60652,-14.19292,"Ofu & Olosega","OLO-00208",2348,2010
-169.62175,-14.18741,"Ofu & Olosega","OLO-00204",2351,2010
-169.66231,-14.18578,"Ofu & Olosega","OFU-00217",2352,2010
-169.60632,-14.16196,"Ofu & Olosega","OLO-00212",2357,2010
-169.60817,-14.15714,"Ofu & Olosega","OLO-00207",2358,2010
-169.6817,-14.17399,"Ofu & Olosega","OFU-00226",2359,2010
-169.67923,-14.1796,"Ofu & Olosega","OFU-00229",2360,2010
-169.67668,-14.18359,"Ofu & Olosega","OFU-00225",2361,2010
-169.628561,-14.17801461,"Ofu & Olosega","OLO-00232",2362,2010
-169.62782,-14.17554,"Ofu & Olosega","OLO-00223",2363,2010
-169.62186,-14.18729,"Ofu & Olosega","OLO-00210",2364,2010
-169.66806,-14.1879,"Ofu & Olosega","OFU-00206",2365,2010
-169.50575,-14.24702,"Tau","TAU-00241",2368,2010
-169.51753,-14.23598,"Tau","TAU-00242",2369,2010
-169.51933,-14.23053,"Tau","TAU-00431",2370,2010
-169.50818,-14.24369,"Tau","TAU-00246",2371,2010
-169.4904,-14.21402,"Tau","TAU-00219",2373,2010
-169.4785,-14.2137,"Tau","TAU-00214",2374,2010
-169.46942,-14.21398,"Tau","TAU-00213",2375,2010
-169.51543,-14.23758,"Tau","TAU-00437",2376,2010
-169.42337,-14.21201,"Tau","TAU-00216",2379,2010
-169.41718,-14.22983,"Tau","TAU-00207",2380,2010
-169.41949,-14.24143,"Tau","TAU-00210",2381,2010
-169.46039,-14.24979,"Tau","TAU-00230",2382,2010
-169.44225,-14.254,"Tau","TAU-00235",2385,2010
-169.42033,-14.25744,"Tau","TAU-00201",2386,2010
-169.41866,-14.24823,"Tau","TAU-00200",2387,2010
-169.41849,-14.23542,"Tau","TAU-00206",2388,2010
-169.67503,-14.1857,"Ofu & Olosega","OFU-00408",2392,2010
-169.68546,-14.17146,"Ofu & Olosega","OFU-00228",2393,2010
-169.6787,-14.15271,"Ofu & Olosega","OFU-00214",2394,2010
-169.6367,-14.16096,"Ofu & Olosega","OFU-00220",2395,2010
-169.6803,-14.15203,"Ofu & Olosega","OFU-00219",2396,2010
-169.6772,-14.15331,"Ofu & Olosega","OFU-00211",2397,2010
-169.66374,-14.16275,"Ofu & Olosega","OFU-00417",2398,2010
-169.6364,-14.17236,"Ofu & Olosega","OFU-00406",2399,2010
-171.0843,-11.0665,"Swains","SWA-00234",2402,2010
-171.08865,-11.06196,"Swains","SWA-00232",2403,2010
-171.08246,-11.06768,"Swains","SWA-00231",2404,2010
-171.08688,-11.06371,"Swains","SWA-00400",2405,2010
-171.06711,-11.06024,"Swains","SWA-00233",2406,2010
-171.06931,-11.062,"Swains","SWA-00403",2408,2010
-171.07784,-11.06798,"Swains","SWA-00227",2409,2010
-171.0721,-11.06475,"Swains","SWA-00229",2410,2010
-171.08916,-11.04844,"Swains","SWA-00210",2414,2010
-171.06535,-11.05165,"Swains","SWA-00219",2415,2010
-171.07262,-11.04555,"Swains","SWA-00214",2416,2010
-171.06438,-11.05337,"Swains","SWA-00215",2417,2010
-171.06389,-11.05444,"Swains","SWA-00224",2418,2010
-171.06532,-11.05844,"Swains","SWA-00225",2419,2010
-171.0649,-11.05732,"Swains","SWA-00226",2420,2010
-171.06853,-11.04749,"Swains","SWA-00217",2421,2010
-171.08101,-11.04654,"Swains","SWA-00205",2422,2010
-171.0909,-11.05922,"Swains","SWA-00201",2426,2010
-171.09241,-11.0516,"Swains","SWA-00230",2427,2010
-171.09207,-11.05233,"Swains","SWA-00208",2428,2010
-171.08742,-11.04752,"Swains","SWA-00223",2429,2010
-171.07542,-11.04524,"Swains","SWA-00216",2430,2010
-171.09174,-11.05662,"Swains","SWA-00235",2431,2010
-171.08669,-11.04723,"Swains","SWA-00213",2433,2010
-169.61151,-14.1484,"Ofu & Olosega","OLO-00218",2435,2010
-169.61975,-14.16127,"Ofu & Olosega","OLO-00213",2436,2010
-169.63837,-14.16174,"Ofu & Olosega","OFU-00215",2437,2010
-169.67493,-14.18671,"Ofu & Olosega","OFU-00227",2438,2010
-169.68074,-14.17466,"Ofu & Olosega","OFU-00419",2439,2010
-169.68629,-14.16823,"Ofu & Olosega","OFU-00233",2440,2010
-169.67535,-14.15845,"Ofu & Olosega","OFU-00221",2442,2010
-169.65907,-14.16401,"Ofu & Olosega","OFU-00421",2443,2010
-169.44029,-14.21052,"Tau","TAU-00217",2447,2010
-169.50006,-14.26176,"Tau","TAU-00237",2448,2010
-169.47124,-14.25824,"Tau","TAU-00228",2449,2010
-169.48203,-14.2688,"Tau","TAU-00442",2450,2010
-169.47313,-14.21368,"Tau","TAU-00215",2451,2010
-169.49142,-14.27653,"Tau","TAU-00243",2452,2010
-169.45592,-14.24988,"Tau","TAU-00224",2453,2010
-169.44287,-14.25456,"Tau","TAU-00226",2454,2010
-170.57286,-14.24676,"Tutuila","TUT-00208",2459,2010
-170.56834,-14.24514,"Tutuila","TUT-00371",2460,2010
-170.62738,-14.25416,"Tutuila","TUT-00327",2461,2010
-170.61032,-14.25453,"Tutuila","TUT-00252",2462,2010
-170.6107,-14.2525,"Tutuila","TUT-00471",2463,2010
-170.62416,-14.25184,"Tutuila","TUT-00401",2466,2010
-160.01176,-0.37216,"Jarvis","JAR-00120",2468,2010
-160.01477,-0.37864,"Jarvis","JAR-00121",2469,2010
-160.01541,-0.37784,"Jarvis","JAR-00110",2470,2010
-160.01151,-0.38161,"Jarvis","JAR-00103",2471,2010
-160.01273,-0.37371,"Jarvis","JAR-00100",2472,2010
-160.00931,-0.37041,"Jarvis","JAR-00102",2480,2010
-160.00652,-0.36575,"Jarvis","JAR-00101",2481,2010
-160.00481,-0.36324,"Jarvis","JAR-00111",2482,2010
-160.00621,-0.36564,"Jarvis","JAR-00119",2483,2010
-160.00839,-0.36926,"Jarvis","JAR-00109",2484,2010
-159.9736,-0.38041,"Jarvis","JAR-00113",2486,2010
-159.97189,-0.37661,"Jarvis","JAR-00106",2487,2010
-160.00661,-0.38155,"Jarvis","JAR-00126",2488,2010
-160.0015,-0.38138,"Jarvis","JAR-00127",2489,2010
-159.99066,-0.38238,"Jarvis","JAR-00105",2491,2010
-159.9968,-0.38199,"Jarvis","JAR-00112",2492,2010
-159.98035,-0.38256,"Jarvis","JAR-00104",2493,2010
-159.97496,-0.37688,"Jarvis","JAR-00116",2494,2010
-159.98836,-0.38149,"Jarvis","JAR-00129",2499,2010
-159.98282,-0.3781,"Jarvis","JAR-00128",2500,2010
-159.97876,-0.38211,"Jarvis","JAR-00114",2501,2010
-159.98663,-0.363692,"Jarvis","JAR-00108",2502,2010
-159.97868,-0.3703,"Jarvis","JAR-00117",2503,2010
-159.98387,-0.37275,"Jarvis","JAR-00124",2504,2010
-159.9772,-0.37413,"Jarvis","JAR-00118",2505,2010
-159.99339,-0.36227,"Jarvis","JAR-00107",2506,2010
-159.97232,-0.37506,"Jarvis","JAR-00422",2508,2010
-159.99838,-0.36258,"Jarvis","JAR-00125",2509,2010
-159.98967,-0.36392,"Jarvis","JAR-00122",2510,2010
-159.99718,-0.36171,"Jarvis","JAR-00115",2511,2010
-162.16948,5.88249,"Palmyra","PAL-00108",2512,2010
-162.15817,5.87967,"Palmyra","PAL-00106",2513,2010
-162.12663,5.86198,"Palmyra","PAL-00144",2514,2010
-162.11932,5.86989,"Palmyra","PAL-00140",2515,2010
-162.01141,5.86472,"Palmyra","PAL-00111",2520,2010
-162.02293,5.8619,"Palmyra","PAL-00110",2521,2010
-162.01993,5.8667,"Palmyra","PAL-00157",2522,2010
-162.02676,5.87089,"Palmyra","PAL-00120",2523,2010
-161.9998,5.87414,"Palmyra","PAL-00406",2524,2010
-162.00121,5.87492,"Palmyra","PAL-00101",2525,2010
-162.01801,5.87173,"Palmyra","PAL-00131",2526,2010
-162.03903,5.87427,"Palmyra","PAL-00121",2527,2010
-162.07962,5.86951,"Palmyra","PAL-00154",2531,2010
-162.06628,5.86757,"Palmyra","PAL-00155",2532,2010
-162.0647,5.8671,"Palmyra","PAL-00109",2533,2010
-162.06477,5.86721,"Palmyra","PAL-00156",2534,2010
-162.13564,5.86248,"Palmyra","PAL-00113",2540,2010
-162.13054,5.87206,"Palmyra","PAL-00115",2541,2010
-162.13017,5.87848,"Palmyra","PAL-00142",2542,2010
-162.12625,5.86947,"Palmyra","PAL-00124",2543,2010
-162.14813,5.87432,"Palmyra","PAL-00145",2544,2010
-162.1467,5.86831,"Palmyra","PAL-00114",2545,2010
-162.14543,5.86911,"Palmyra","PAL-00139",2546,2010
-162.11089,5.86915,"Palmyra","PAL-00150",2547,2010
-162.13669,5.89662,"Palmyra","PAL-00136",2548,2010
-162.1209,5.88741,"Palmyra","PAL-00128",2550,2010
-162.14861,5.8928,"Palmyra","PAL-00148",2551,2010
-162.12048,5.89675,"Palmyra","PAL-00147",2552,2010
-162.11034,5.89688,"Palmyra","PAL-00134",2553,2010
-162.04073,5.88582,"Palmyra","PAL-00104",2558,2010
-162.06865,5.89903,"Palmyra","PAL-00414",2559,2010
-162.07565,5.89728,"Palmyra","PAL-00118",2560,2010
-162.10971,5.86619,"Palmyra","PAL-00143",2561,2010
-162.09468,5.86734,"Palmyra","PAL-00141",2564,2010
-162.0854885,5.87016,"Palmyra","PAL-00125",2565,2010
-162.16013,5.89155,"Palmyra","PAL-00418",2570,2010
-162.13911,5.89135,"Palmyra","PAL-00427",2571,2010
-162.42554,6.3785,"Kingman","KIN-00120",2575,2010
-162.4205,6.37824,"Kingman","KIN-00148",2576,2010
-162.38927,6.38244,"Kingman","KIN-00147",2578,2010
-162.38959,6.38318,"Kingman","KIN-00105",2579,2010
-162.38139,6.38208,"Kingman","KIN-00122",2584,2010
-162.36211,6.38016,"Kingman","KIN-00108",2585,2010
-162.34192,6.38214,"Kingman","KIN-00146",2588,2010
-162.33809,6.38279,"Kingman","KIN-00118",2589,2010
-162.33409,6.38796,"Kingman","KIN-00145",2590,2010
-162.33789,6.38397,"Kingman","KIN-00106",2591,2010
-162.42722,6.43333,"Kingman","KIN-00128",2597,2010
-162.42203,6.43303,"Kingman","KIN-00159",2598,2010
-162.38614,6.43841,"Kingman","KIN-00121",2602,2010
-162.44586,6.41557,"Kingman","KIN-00126",2623,2010
-162.4597,6.40797,"Kingman","KIN-00123",2624,2010
-162.457,6.38003,"Kingman","KIN-00127",2625,2010
-162.4792,6.39143,"Kingman","KIN-00124",2626,2010
-166.2985042,23.87322949,"French Frigate","FFS-00150",2857,2010
-166.2337431,23.88210903,"French Frigate","FFS-00147",2858,2010
-166.3205941,23.85988575,"French Frigate","FFS-00151",2882,2010
-166.0681813,23.69184343,"French Frigate","FFS-00183",2908,2010
-166.0811213,23.65031965,"French Frigate","FFS-00189",2909,2010
-166.0947435,23.63931715,"French Frigate","FFS-00154",2910,2010
-166.1027381,23.63723064,"French Frigate","FFS-00184",2911,2010
-166.0505021,23.71500766,"French Frigate","FFS-00275",2914,2010
-166.1044543,23.63130011,"French Frigate","FFS-00187",2915,2010
-175.7568471,27.79643971,"Pearl & Hermes","PHR-00305",2930,2010
-175.7744761,27.79518628,"Pearl & Hermes","PHR-00298",2931,2010
-175.7603631,27.80441986,"Pearl & Hermes","PHR-00297",2932,2010
-175.7608537,27.81172327,"Pearl & Hermes","PHR-00368",2933,2010
-175.7388367,27.85814401,"Pearl & Hermes","PHR-00295",2941,2010
-175.7411513,27.85297304,"Pearl & Hermes","PHR-00296",2942,2010
-175.7457169,27.82418716,"Pearl & Hermes","PHR-00304",2943,2010
-175.7924646,27.77897375,"Pearl & Hermes","PHR-00361",2944,2010
-175.7313967,27.88181534,"Pearl & Hermes","PHR-00287",2945,2010
-175.7233362,27.89610179,"Pearl & Hermes","PHR-00293",2946,2010
-175.7547732,27.82068352,"Pearl & Hermes","PHR-00285",2947,2010
-175.8076581,27.78196097,"Pearl & Hermes","PHR-00377",2948,2010
-175.8351727,27.78918249,"Pearl & Hermes","PHR-00286",2949,2010
-175.7275938,27.95101063,"Pearl & Hermes","PHR-00334",2954,2010
-175.7749091,27.96477883,"Pearl & Hermes","PHR-00288",2956,2010
-175.7481797,27.9558195,"Pearl & Hermes","PHR-00327",2957,2010
-175.8233988,27.9600656,"Pearl & Hermes","PHR-00307",2958,2010
-175.8752455,27.93110101,"Pearl & Hermes","PHR-00330",2959,2010
-175.868076,27.93632898,"Pearl & Hermes","PHR-00329",2960,2010
-175.8337022,27.95490604,"Pearl & Hermes","PHR-00291",2961,2010
-175.9129906,27.90985239,"Pearl & Hermes","PHR-00362",2973,2010
-175.995669,27.79172891,"Pearl & Hermes","PHR-00299",2978,2010
-175.9563388,27.8582456,"Pearl & Hermes","PHR-00331",2980,2010
-175.8972808,27.77124245,"Pearl & Hermes","PHR-00397",2988,2010
-178.300265,28.38306614,"Kure","KUR-00192",3018,2010
-178.3296686,28.38047706,"Kure","KUR-00194",3022,2010
-178.3357237,28.38486146,"Kure","KUR-00168",3023,2010
-178.3588074,28.38883541,"Kure","KUR-00191",3024,2010
-178.3613476,28.3847701,"Kure","KUR-00171",3025,2010
-178.3634197,28.39618198,"Kure","KUR-00159",3039,2010
-178.3618592,28.39416655,"Kure","KUR-00160",3044,2010
-178.3074384,28.38440247,"Kure","KUR-00241",3046,2010
-178.3748214,28.43325983,"Kure","KUR-00169",3049,2010
-178.3492277,28.45236302,"Kure","KUR-00165",3050,2010
-178.3528083,28.44921973,"Kure","KUR-00186",3051,2010
-178.3647671,28.43960493,"Kure","KUR-00187",3052,2010
-178.2896484,28.43719161,"Kure","KUR-00166",3053,2010
-178.2860534,28.42410763,"Kure","KUR-00188",3054,2010
-178.3068335,28.45271339,"Kure","KUR-00164",3055,2010
-178.382783,28.41135699,"Kure","KUR-00170",3056,2010
-173.8759265,26.02048474,"Lisianski","LIS-00147",3075,2010
-173.8977095,26.00485149,"Lisianski","LIS-00149",3076,2010
-173.8657271,25.99569786,"Lisianski","LIS-00174",3077,2010
-173.9130338,25.99311079,"Lisianski","LIS-00138",3078,2010
-173.8674763,25.95852119,"Lisianski","LIS-00160",3079,2010
-173.8803839,25.95009813,"Lisianski","LIS-00152",3080,2010
-173.8799546,25.96597664,"Lisianski","LIS-00150",3081,2010
-173.930271,25.9634795,"Lisianski","LIS-00140",3082,2010
-173.8967245,25.96677032,"Lisianski","LIS-00164",3083,2010
-173.9122009,26.08378856,"Lisianski","LIS-00156",3088,2010
-173.9039747,26.05233723,"Lisianski","LIS-00146",3089,2010
-173.9231853,26.07116994,"Lisianski","LIS-00145",3090,2010
-173.9446185,26.08411672,"Lisianski","LIS-00165",3091,2010
-173.9862654,26.08821698,"Lisianski","LIS-00155",3092,2010
-173.970448,26.10029966,"Lisianski","LIS-00176",3093,2010
-173.9565957,26.09191541,"Lisianski","LIS-00142",3094,2010
-173.977783,26.08844421,"Lisianski","LIS-00141",3095,2010
-174.0264062,26.05743787,"Lisianski","LIS-00157",3097,2010
-173.9712633,26.03912677,"Lisianski","LIS-00137",3098,2010
-174.0103305,26.02071583,"Lisianski","LIS-00173",3099,2010
-174.0304875,26.0001821,"Lisianski","LIS-00179",3100,2010
-174.0123502,25.96691323,"Lisianski","LIS-00180",3101,2010
-173.9705902,25.94523344,"Lisianski","LIS-00153",3102,2010
-173.9468795,25.93626782,"Lisianski","LIS-00154",3103,2010
-173.8599445,25.88560693,"Lisianski","LIS-00199",3104,2010
-155.7091341,20.20014013,"Hawaii","HAW-00457",3121,2010
-155.7512105,20.23244122,"Hawaii","HAW-00150",3122,2010
-155.7513162,20.23945042,"Hawaii","HAW-00146",3123,2010
-155.855388,20.26778779,"Hawaii","HAW-00167",3124,2010
-155.2322548,19.98708649,"Hawaii","HAW-00178",3129,2010
-155.3185486,20.03393152,"Hawaii","HAW-00354",3130,2010
-155.3824007,20.06635465,"Hawaii","HAW-00525",3131,2010
-155.226814,19.98493443,"Hawaii","HAW-00315",3132,2010
-155.2914663,20.02240791,"Hawaii","HAW-00194",3133,2010
