"island","island_messie","lon","lat","type","chl_island","cv_chl","chl_ime","chl_no_ime","months_ime","cv_ime","median_ime_percent","median_chl_percent","max_ime_percent","total_ime_chl_tCm","total_increase_chl_tCm","lat_neg","ime_diff"
"Espanola (Hood)","Espanola (Hood)",270.33,-1.38,"Island",0.377819207807382,14.1044339955959,0.418705821037292,0.374102242968299,1, ,11.5473628044128,27.3699373006821,56.8577945232391,0.017904478885037,0.00174906682347319,-1.38,11.9228309659648
"Espiritu Santo","Espiritu Santo",166.94,-15.39,"Island",0.209933528055747,27.865014003888,0.195789358445576,0.229735365509987,7,84.5183795644702,81.1732292175293,150.722151994705,412.248945236206,78.7182826058589,6.90066344160453,-15.39,-14.776134701357
"Fais","Fais",140.52,9.76,"Island",0.0581829973186056,18.7010000147491,0.0587278167632493,0.0521899834275246,11,52.0991304281499,6.49882927536964,6.49882927536964,17.0061483979225,0.120434522015448,0.00486499517993153,-9.76,12.5269887176794
"Fakahina (Enterprise)","Fakahina (Enterprise)",219.86,-16,"Island",0.0699002780020237,11.0533231086727,0.0692385765058654,0.0708266600966454,7,38.5796341320448,9.10934656858444,9.10934656858444,14.8607224225998,0.164866648718436,0.00939804065763707,-16,-2.24221160310678
"Fakaofo","Fakaofo",188.8,-9.39,"Island",0.0767814116552472,17.482517314442,0.0767814116552472, ,12,48.4372674753162,8.47594067454338,8.47594067454338,18.3080434799194,0.359111481232393,0.0118999318940616,-9.39, 
"Fakarava (Wittgenstein)","Fakarava (Wittgenstein)",214.37,-16.26,"Island",0.0747751103093227,9.86611232927765,0.0705315947532654,0.0778061928493636,5,43.8361709736163,13.9576256275177,14.4448086619377,35.261482000351,0.129863531348661,0.00606635703346296,-16.26,-9.34963892936155
"Falalop (Ulithi)","Falalop (Ulithi)",139.79,10.02,"Island",0.073724115267396,13.5411225361937,0.073724115267396, ,12,24.3113879384785,34.7920596599579,34.7920596599579,46.6870874166489,2.13402775066751,0.162141152827859,-10.02, 
"Fangatau (Arakchev)","Fangatau (Arakchev)",219.14,-15.84,"Island",0.0684987287968397,11.0182228603649,0.0634616322815418,0.0720966548791954,5,37.4258716400964,9.83357131481171,9.83357131481171,17.1306565403938,0.129534885592017,0.00500009577350819,-15.84,-11.9770086588931
"Fangataufa (Cockburn)","Fangataufa (Cockburn)",221.24,-22.25,"Island",0.0372317208287617,28.5155364091163,0.032619770616293,0.0387690375662512,3,10.8400705416866,9.30913761258125,9.90908741950989,17.9800048470497,0.505243706423431,0.0111697237194859,-22.25,-15.8612834776978
"Farallon de Medinilla","Farallon de Medinilla",146.06,16.02,"Island",0.0518009501198928,9.21799209457739,0.0511799460010869,0.0526703558862209,7,43.175287630723,5.80570437014103,8.06840658187866,30.9024542570114,0.160070266496493,0.00449237456675601,-16.02,-2.82969397122285
"Farallon de Pajaros","Farallon de Pajaros",144.9,20.55,"Island",0.0568591145177682,19.7637918995925,0.0570277832448483,0.0565217770636082,8,58.7030619083566,5.54272159934044,6.84401467442513,13.8657227158546,0.675531022798609,0.0147687948739103,-20.55,0.895241104451892
"Faraulep","Faraulep",144.55,8.6,"Island",0.0664250726501147,24.2202559907814,0.0655244383960962,0.070928243920207,10,57.0091702283319,7.70532190799713,7.70532190799713,19.9874550104141,0.169001131642958,0.0071117209508438,-8.6,-7.6186935210041
"Fatu Hiva","Fatu Hiva",221.38,-10.48,"Island",0.227793954312801,9.66273226742486, ,0.227793954312801,0, , ,83.6938083171844,114.267945289612,0,0,-10.48, 
"Fatu Huku","Fatu Huku",221.07,-9.43,"Island",0.210396334528923,15.0260998589023, ,0.210396334528923,0, , ,60.6498092412949,137.503087520599,0,0,-9.43, 
"Fayu/Fayo","Fayu/Fayo",151.36,8.57,"Island",0.0615659328177571,23.7818655206167,0.0745690003037453,0.0522780274706227,5,31.95144936946,10.6258220970631,10.1416572928429,15.0129094719887,0.205505327702907,0.00606666469493302,-8.57,42.6392767891803
"Fenualoa","Fenualoa",166.3,-10.26,"Island",0.128158562506239,19.3070727580258,0.124975805481275,0.12921948151456,3,7.88875461935351,31.4694106578827,29.824236035347,59.8484396934509,0.262950950048692,0.0188026456816951,-10.26,-3.28408378020522
"Flint","Flint",208.2,-11.43,"Island",0.083934435620904,13.6177156547144,0.0851132944226265,0.0803978592157364,9,76.7153582961942,5.07662110030651,5.07662110030651,20.1881647109985,0.221716586450763,0.00962935685485394,-11.43,5.86512533155503
"Floreana (Charles  Santa Maria)","Floreana (Charles  Santa Maria)",269.57,-1.31,"Island",0.480789552132289,17.0045684264883, ,0.480789552132289,0, , ,64.1477793455124,145.340192317963,0,0,-1.31, 
"Fonualei","Fonualei",185.68,-18.02,"Island",0.091442909091711,10.8879964697901,0.0857342307766279,0.0971515874067942,6,58.9988330264211,8.27770940959454,15.1475537568331,130.568885803223,0.352155554273819,0.0169844936559056,-18.02,-11.7521050709748
"French Frigate","French Frigate Shoals",193.83,23.73,"Island",0.0948399677872658,11.5330234335692,0.0934678912162781,0.0958200224808284,5,68.8721528589929,17.8240835666656,28.6090433597565,71.50017619133,0.80949770361584,0.0233405388360707,-23.73,-2.45473879430675
"Funafuti","Funafuti",179.21,-8.5,"Island",0.0826942001779874,13.8462991643538,0.0826942001779874, ,12,34.4862005569038,16.1424726247787,16.1424726247787,23.2506543397903,1.17348511078772,0.0452381260897236,-8.5, 
"Futuna (1)","Futuna (1)",181.88,-14.29,"Island",0.0625281402220329,13.6496616048387,0.0625281402220329, ,12,30.441731934794,12.3493909835815,12.3493909835815,24.4490146636963,1.49672909493149,0.0362796852815679,-14.29, 
"Futuna (2)","Futuna (2)",170.22,-19.53,"Island",0.101039254417022,19.3358272312391,0.121310060222944,0.0942823191483815,3,36.1943703040083,2.47721560299397,39.8306667804718,48.3041793107986,0.0456797765707639,0.000459044063502915,-19.53,28.6668182525568
"Gaferut","Gaferut",145.38,9.23,"Island",0.0584184338028232,20.4509393094728,0.0592234790325165,0.054393207654357,10,37.4106968422207,7.42852874100208,7.42852874100208,10.9617382287979,0.100078243643794,0.00336669940118014,-9.23,8.88028411351212
