"island","REGION","mean","sd","median","n_cells","na_cells","time"
"Alamagan","MARIAN",50.7185153961182,1.04290086397191,50.4321899414062,4,0,1993-02-01
"Swains","SAMOA",25.1570820808411,1.22642827504397,25.017110824585,4,0,1993-02-01
"Howland","PRIAs",17.9713177680969,0.282132529880754,17.9439640045166,4,0,1993-02-01
"Laysan","NWHI",33.83851146698,4.6063480967254,33.3138866424561,4,0,1993-02-01
"Nihoa","NWHI",47.9032160441081,2.49555048033553,48.1794891357422,3,1,1993-02-01
"Maug","MARIAN",58.3042593002319,7.62302663645778,58.4322986602783,4,0,1993-02-01
"Necker","NWHI",35.4685904184977,4.75257003063785,35.0826854705811,6,0,1993-02-01
"Ofu & Olosega","SAMOA",20.0070940653483,0.494215110350833,20.1610412597656,6,0,1993-02-01
"Baker","PRIAs",18.1103610992432,0.487130809915009,17.9614315032959,5,0,1993-02-01
"Hawaii","MHI",29.9411987463633,3.96215906363578,29.5582895278931,24,1,1993-03-01
"Maui","MHI",33.1822189092636,4.45548650014629,32.3187866210938,16,1,1993-03-01
"Oahu","MHI",34.6506665093558,2.16354340519657,35.0703372955322,14,1,1993-03-01
"Kauai","MHI",52.8179006576538,6.44002784170637,52.3114452362061,12,0,1993-03-01
"Molokai","MHI",32.4804541847923,2.98100823913929,32.6127243041992,11,1,1993-03-01
"Guam","MARIAN",27.03148021698,2.28529868765215,27.5396509170532,10,1,1993-03-01
"Lanai","MHI",30.5329085758754,1.85178726601777,30.3162326812744,7,1,1993-03-01
"Niihau","MHI",51.8098978996277,7.37062451160147,54.3102855682373,8,0,1993-03-01
"Tutuila","SAMOA",26.973427772522,1.35807997337037,26.9601411819458,6,0,1993-03-01
"Saipan","MARIAN",24.5662292480469,1.70963427636509,25.289514541626,5,0,1993-03-01
"Tinian","MARIAN",23.5941892351423,2.55738291996175,23.3406848907471,7,0,1993-03-01
"Jarvis","PRIAs",12.9194440841675,0.574430608976681,12.9125633239746,4,0,1993-03-01
"Rota","MARIAN",24.1035461425781,1.20115403110325,23.6054039001465,5,0,1993-03-01
"Aguijan","MARIAN",22.8312082290649,2.46420802253084,22.0184984207153,6,0,1993-03-01
"Sarigan","MARIAN",33.1692452430725,1.92458256639031,33.1130676269531,4,0,1993-03-01
"Guguan","MARIAN",29.596067905426,0.273725832099574,29.5804901123047,4,0,1993-03-01
"Pagan","MARIAN",29.6246643066406,0.271788118994403,29.5078372955322,4,0,1993-03-01
"Agrihan","MARIAN",32.6690527598063,2.76833794471606,32.1452445983887,6,0,1993-03-01
"Asuncion","MARIAN",33.5617146492004,4.11049126975842,33.4185857772827,4,0,1993-03-01
"Farallon de Pajaros","MARIAN",20.4416627883911,2.75499339567339,19.5274562835693,4,0,1993-03-01
"Tau","SAMOA",25.1176360448201,1.70477374924192,25.6495132446289,6,0,1993-03-01
"Alamagan","MARIAN",29.9184632301331,0.566414454383714,29.8682880401611,4,0,1993-03-01
"Swains","SAMOA",20.8821492195129,0.717214573938487,20.8360185623169,4,0,1993-03-01
"Howland","PRIAs",14.6516535282135,0.216490398148364,14.6428027153015,4,0,1993-03-01
"Laysan","NWHI",20.6340079307556,1.34038864186788,20.9784984588623,4,0,1993-03-01
"Nihoa","NWHI",29.83220799764,6.08512795915771,26.3335494995117,3,1,1993-03-01
"Maug","MARIAN",29.0279021263123,0.886141598335361,29.2234649658203,4,0,1993-03-01
"Necker","NWHI",37.6087195078532,3.76803248492205,36.7983932495117,6,0,1993-03-01
"Ofu & Olosega","SAMOA",25.9390652974447,1.00196391575478,26.2802600860596,6,0,1993-03-01
"Baker","PRIAs",14.3336828231812,0.10508148412747,14.3713703155518,5,0,1993-03-01
"Hawaii","MHI",22.4577662944794,2.70681310853282,21.8221759796143,24,1,1993-04-01
"Maui","MHI",22.1701654195786,3.04874167500403,22.4996099472046,16,1,1993-04-01
"Oahu","MHI",23.603138923645,2.88613668967461,24.5974159240723,14,1,1993-04-01
"Kauai","MHI",23.4132823944092,2.28625782734628,23.8439235687256,12,0,1993-04-01
"Molokai","MHI",20.2670078277588,3.72419074557757,19.2263603210449,11,1,1993-04-01
"Guam","MARIAN",24.0478923797607,0.753658871978655,23.8916997909546,10,1,1993-04-01
"Lanai","MHI",22.7181500026158,3.19558309492847,22.7030048370361,7,1,1993-04-01
"Niihau","MHI",25.9184119701385,0.828416889108573,25.7827177047729,8,0,1993-04-01
"Tutuila","SAMOA",15.7571860949198,0.163115668952206,15.768979549408,6,0,1993-04-01
"Saipan","MARIAN",18.3038341522217,0.482198501616909,18.334659576416,5,0,1993-04-01
"Tinian","MARIAN",18.1673652103969,0.843398713496867,18.334659576416,7,0,1993-04-01
"Jarvis","PRIAs",11.3799486160278,0.0430838834887498,11.3932595252991,4,0,1993-04-01
"Rota","MARIAN",22.7929431915283,1.18976536179979,22.6738986968994,5,0,1993-04-01
"Aguijan","MARIAN",18.2528629302979,0.999576550235586,18.5074234008789,6,0,1993-04-01
