species,trophic_guild,genus,subfamily,family,order,class,superclass,diet,position
odontanthias_xanthomaculatus,planktivores,pseudanthias,NA,anthiadidae,perciformes/serranoidei,teleostei,osteichthyes,Plktiv,BtPlDw
othos_dentex,macrocarnivores,othos,NA,anthiadidae,perciformes/serranoidei,teleostei,osteichthyes,InvMob,BnthDw
plectranthias_alleni,planktivores,plectranthias,NA,anthiadidae,perciformes/serranoidei,teleostei,osteichthyes,Plktiv,BtPlDw
plectranthias_cirrhitoides,planktivores,plectranthias,NA,anthiadidae,perciformes/serranoidei,teleostei,osteichthyes,Plktiv,BtPlDw
plectranthias_fourmanoiri,planktivores,plectranthias,NA,anthiadidae,perciformes/serranoidei,teleostei,osteichthyes,Plktiv,BtPlDw
plectranthias_gardineri,planktivores,plectranthias,NA,anthiadidae,perciformes/serranoidei,teleostei,osteichthyes,Plktiv,BtPlDw
plectranthias_inermis,planktivores,plectranthias,NA,anthiadidae,perciformes/serranoidei,teleostei,osteichthyes,Plktiv,BtPlDw
plectranthias_kelloggi,planktivores,plectranthias,NA,anthiadidae,perciformes/serranoidei,teleostei,osteichthyes,Plktiv,BtPlDw
plectranthias_klausewitzi,planktivores,plectranthias,NA,anthiadidae,perciformes/serranoidei,teleostei,osteichthyes,Plktiv,BtPlDw
plectranthias_knappi,planktivores,plectranthias,NA,anthiadidae,perciformes/serranoidei,teleostei,osteichthyes,Plktiv,BtPlDw
plectranthias_longimanus,planktivores,plectranthias,NA,anthiadidae,perciformes/serranoidei,teleostei,osteichthyes,Plktiv,BtPlDw
plectranthias_morgansi,planktivores,plectranthias,NA,anthiadidae,perciformes/serranoidei,teleostei,osteichthyes,Plktiv,BtPlDw
plectranthias_nanus,planktivores,plectranthias,NA,anthiadidae,perciformes/serranoidei,teleostei,osteichthyes,Plktiv,BtPlDw
plectranthias_pelicieri,planktivores,plectranthias,NA,anthiadidae,perciformes/serranoidei,teleostei,osteichthyes,Plktiv,BtPlDw
plectranthias_randalli,planktivores,plectranthias,NA,anthiadidae,perciformes/serranoidei,teleostei,osteichthyes,Plktiv,BtPlDw
plectranthias_rubrifasciatus,planktivores,plectranthias,NA,anthiadidae,perciformes/serranoidei,teleostei,osteichthyes,Plktiv,BtPlDw
